varname	groupname
Galium-type	Herbs
Genista-type	Trees and shrubs
Gentiana	Herbs
Gentiana cf. G. pneumonanthe	Herbs
Gentiana nivalis	Herbs
Gentiana nivalis-type	Herbs
Gentiana pneumonanthe	Herbs
Gentiana pneumonanthe-type	Herbs
Gentiana purpurea-type	Herbs
Gentiana verna	Herbs
Gentianaceae	Herbs
Gentianaceae undiff.	Herbs
Gentianella	Herbs
Gentianella amarella	Herbs
Gentianella campestris	Herbs
Geranium	Herbs
Geranium-type	Herbs
Geum	Herbs
Geum cf. G. rivale	Herbs
Geum rivale	Herbs
Geum-type	Herbs
Glaucium	Herbs
Glaux	Herbs
Gnaphalium	Herbs
Gramineae	Herbs
Gypsophila	Herbs
Gypsophila undiff.	Herbs
Hedera	Trees and shrubs
Hedera helix	Trees and shrubs
Hedysarum	Herbs
Helianthemum	Herbs
Helianthemum cf. H. canum	Herbs
Heliotropium-type	Herbs
Helleborus undiff.	Herbs
Helleborus/Chelidonium	Indeterminables and unknowns
Heracleum	Herbs
Heracleum-type	Herbs
Herniaria	Herbs
Herniaria-type	Herbs
Hippocrepis-type	Herbs
Hippophae	Trees and shrubs
Hippuris	Aquatics
Hordeum	Herbs
Hordeum-type	Herbs
Hornungia-type	Herbs
Picea abies-type	Trees and shrubs
Hottonia/Samolus	Indeterminables and unknowns
Humulus	Herbs
Humulus lupulus	Herbs
Humulus-type	Herbs
Humulus/Cannabis	Herbs
Hyacinthoides non-scripta	Herbs
Hydrocharis morsus-ranae	Aquatics
Hydrocotyle	Herbs
Hypericum	Herbs
Hypericum elodes	Herbs
Hypericum perforatum-type	Herbs
Hypericum pulchrum-type	Herbs
Hypericum undiff.	Herbs
Hypericum-type	Herbs
Ilex	Trees and shrubs
Ilex aquifolium	Trees and shrubs
Impatiens	Herbs
Iris	Herbs
Iris pseudacorus-type	Herbs
Jasione	Herbs
Jasione montana	Herbs
Juglans	Trees and shrubs
Juncaceae	Herbs
Juniperus	Trees and shrubs
Juniperus communis	Trees and shrubs
Juniperus-type	Trees and shrubs
Knautia	Herbs
Knautia-type	Herbs
Caryophyllaceae subf. Paronychioideae	Herbs
Koenigia islandica	Herbs
Labiatae	Herbs
Laburnum-type	Trees and shrubs
Lamium-type	Herbs
Larix	Trees and shrubs
Lathyrus	Herbs
Lathyrus japonicus subsp. maritimus	Herbs
Lathyrus palustris	Herbs
Lathyrus sativus	Herbs
Lathyrus-type	Herbs
Ledum	Dwarf shrubs
Leguminosae	Herbs
Leguminosae undiff.	Herbs
Lemna	Aquatics
Lemnaceae	Aquatics
Ligustrum	Trees and shrubs
Liliaceae	Herbs
Lilium	Herbs
Lilium-type	Herbs
Limosella	Herbs
Linaria	Herbs
Rosaceae (operculate)	Herbs
Linnaea borealis	Herbs
Linum	Herbs
Linum bienne-type	Herbs
Linum catharticum	Herbs
Linum catharticum-type	Herbs
Linum usitatissimum	Herbs
Linum usitatissimum-type	Herbs
Liquidambar	Trees and shrubs
Listera-type	Herbs
Lithospermum	Herbs
Lithospermum officinale	Herbs
Anthoceros/Phaeoceros	Bryophytes
Littorella uniflora	Aquatics
Lobelia	Helophytes
Lobelia-type	Helophytes
Loiseleuria procumbens	Dwarf shrubs
Lomatogonium	Herbs
Lonicera	Trees and shrubs
Lonicera periclymenum	Trees and shrubs
Lonicera xylosteum-type	Trees and shrubs
Loranthaceae	Trees and shrubs
Loranthus europaeus	Trees and shrubs
Lotus	Herbs
Lotus corniculatus	Herbs
Lotus uliginosus	Herbs
Lotus-type	Herbs
Ludwigia	Helophytes
Luronium-type	Helophytes
Luzula	Herbs
Lychnis flos-cuculi	Herbs
Lychnis-type	Herbs
Lycium	Trees and shrubs
Lycopus	Herbs
Lycopus-type	Herbs
Lysimachia	Herbs
Lysimachia nemorum	Herbs
Lysimachia thyrsiflora	Herbs
Lysimachia vulgaris	Herbs
Lysimachia-type	Herbs
Lythrum	Herbs
Lythrum portula-type	Herbs
Lythrum salicaria	Herbs
Mahonia-type	Trees and shrubs
Maianthemum bifolium	Herbs
Maianthemum-type	Herbs
Malus	Trees and shrubs
Malus-type	Trees and shrubs
Malus/Mespilus	Trees and shrubs
Malva	Herbs
Malva-type	Herbs
Malvaceae	Herbs
Marrubium	Herbs
Matricaria	Herbs
Matricaria-type	Herbs
Matthiola	Herbs
Medicago sativa	Herbs
Medicago sativa subsp. falcata	Herbs
Medicago sativa-type	Herbs
Melampyrum	Herbs
Mentha	Herbs
Mentha-type	Herbs
Rosaceae (non-operculate)	Trees and shrubs
Menyanthes trifoliata	Helophytes
Menyanthes-type	Helophytes
Mercurialis	Herbs
Mercurialis annua	Herbs
Mercurialis annua-type	Herbs
Mercurialis perennis	Herbs
Mercurialis undiff.	Herbs
Merendera-type	Herbs
Mertensia maritima	Herbs
Mespilus germanica	Trees and shrubs
Mespilus-type	Trees and shrubs
Moneses	Dwarf shrubs
Monotropa	Herbs
Montia	Herbs
Moraceae	Trees and shrubs
Muscari	Herbs
Myosotis-type	Herbs
Myrica	Trees and shrubs
Myricaria germanica	Trees and shrubs
Myriophyllum	Aquatics
Myriophyllum alterniflorum	Aquatics
Myriophyllum spicatum	Aquatics
Myriophyllum spicatum-type	Aquatics
Myriophyllum spicatum/M. verticillatum	Aquatics
Myriophyllum undiff.	Aquatics
Myriophyllum verticillatum	Aquatics
Myriophyllum verticillatum-type	Aquatics
Myrtaceae	Trees and shrubs
Myrtus	Trees and shrubs
Myrtus communis	Trees and shrubs
Myosotis	Herbs
Narcissus	Herbs
Narthecium	Herbs
Narthecium ossifragum	Herbs
Nephrophyllidium	Aquatics
Nonea	Herbs
Nuphar	Aquatics
Nuphar lutea	Aquatics
Nymphaea	Aquatics
Nymphaea cf. N. candida	Aquatics
Nymphaeaceae	Aquatics
Nymphoides peltata	Aquatics
Nyssa	Pre-Quaternary type
Odontites	Herbs
Oenothera	Herbs
Olea	Trees and shrubs
Oleaceae	Trees and shrubs
Oleaceae undiff.	Trees and shrubs
Onagraceae	Herbs
Onobrychis	Herbs
Onobrychis-type	Herbs
Ononis	Herbs
Ononis-type	Herbs
Orchidaceae	Herbs
Ornithogalum umbellatum	Herbs
Ornithogalum-type	Herbs
Ostrya	Trees and shrubs
Ostrya-type	Trees and shrubs
Ostrya/Carpinus	Trees and shrubs
Oxalis	Herbs
Oxalis acetosella	Herbs
Oxyria	Herbs
Oxyria digyna-type	Herbs
Oxyria-type	Herbs
Oxyria/Rumex subg. Acetosa	Herbs
Paliurus-type	Trees and shrubs
Papaver	Herbs
Papaver argemone	Herbs
Papaver radicatum-type	Herbs
Papaver rhoeas-type	Herbs
Parietaria	Herbs
Paris-type	Herbs
Rhinanthus-type/Veronica-type	Herbs
Parnassia palustris	Herbs
Pedicularis	Herbs
Pentaglottis sempervirens	Herbs
Penthorum sedoides	Herbs
Phillyrea	Trees and shrubs
Phragmites	Herbs
Picea	Trees and shrubs
Pimpinella-type	Herbs
Pinguicula	Herbs
Pinus	Trees and shrubs
Pinus diploxylon-type	Trees and shrubs
Pinus haploxylon-type	Trees and shrubs
Pinus sylvestris	Trees and shrubs
Pinus undiff.	Trees and shrubs
Pistacia	Trees and shrubs
Pistacia lentiscus	Trees and shrubs
Pisum	Herbs
Plantaginaceae	Herbs
Plantago	Herbs
Plantago atrata	Herbs
Plantago coronopus	Herbs
Plantago lanceolata	Herbs
Plantago lanceolata-type	Herbs
Plantago major	Herbs
Plantago major-type	Herbs
Plantago major/P. media	Herbs
Plantago maritima	Herbs
Plantago maritima-type	Herbs
Plantago maritima/P. alpina	Herbs
Plantago media	Herbs
Plantago media-type	Herbs
Plantago tenuiflora	Herbs
Plantago undiff.	Herbs
Platanus	Trees and shrubs
Platycarya	Trees and shrubs
Pleurospermum	Herbs
Pleurospermum austriacum	Herbs
Plumbaginaceae	Herbs
Podocarpaceae	Trees and shrubs
Polemonium	Herbs
Polemonium caeruleum	Herbs
Polemonium-type	Herbs
Polycnemum/Paronychia	Herbs
Polygala	Herbs
Polygalaceae	Herbs
Polygonaceae	Herbs
Polygonum	Herbs
Polygonum alpinum	Herbs
Polygonum amphibium	Aquatics
Polygonum aviculare	Herbs
Polygonum aviculare-type	Herbs
Polygonum bistorta	Herbs
Polygonum bistorta-type	Herbs
Polygonum bistorta/P. viviparum	Herbs
Polygonum cf. P. viviparum	Herbs
Polygonum oxyspermum-type	Herbs
Polygonum persicaria	Herbs
Polygonum persicaria-type	Herbs
Polygonum sect. Bistorta	Herbs
Polygonum sect. Persicaria	Herbs
Polygonum viviparum	Herbs
Polygonum viviparum-type	Herbs
Populus	Trees and shrubs
Populus balsamifera-type	Trees and shrubs
Populus tremula	Trees and shrubs
Populus tremula-type	Trees and shrubs
Potamogeton	Aquatics
Potamogeton subg. Coleogeton	Aquatics
Potamogeton subg. Potamogeton	Aquatics
Potamogeton undiff.	Aquatics
Potamogeton-type	Aquatics
Potentilla	Herbs
Potentilla palustris	Herbs
Potentilla undiff.	Herbs
Potentilla-type	Herbs
Primula	Herbs
Primula farinosa	Herbs
Primula farinosa-type	Herbs
Primula scandinavica-type	Herbs
Primula vulgaris	Herbs
Primula vulgaris-type	Herbs
Primulaceae	Herbs
Prosopis	Trees and shrubs
Prunella	Herbs
Prunella-type	Herbs
Prunus	Trees and shrubs
Prunus cf. P. padus	Trees and shrubs
Prunus dulcis-type	Trees and shrubs
Prunus padus	Trees and shrubs
Prunus-type	Trees and shrubs
Pseudotsuga	Trees and shrubs
Pterocarya	Trees and shrubs
Pulmonaria	Herbs
Pulmonaria-type	Herbs
Pyrus-type	Trees and shrubs
Pyrus/Sorbus	Trees and shrubs
Quercus	Trees and shrubs
Quercus cerris-type	Trees and shrubs
Quercus coccifera-type	Trees and shrubs
Quercus ilex-type	Trees and shrubs
Quercus pubescens-type	Trees and shrubs
Quercus robur-type	Trees and shrubs
Quercus undiff.	Trees and shrubs
Radiola	Herbs
Ranunculaceae	Herbs
Ranunculaceae undiff.	Herbs
Ranunculus	Herbs
Ranunculus acris	Herbs
Ranunculus acris-type	Herbs
Ranunculus flammula-type	Helophytes
Ranunculus sceleratus/R. repens	Herbs
Ranunculus subg. Batrachium	Aquatics
Ranunculus trichophyllus-type	Aquatics
Ranunculus undiff.	Herbs
Ranunculus-type	Herbs
Reseda	Herbs
Rhamnaceae	Trees and shrubs
Rhamnus	Trees and shrubs
Rhamnus catharticus	Trees and shrubs
Rhinanthus	Herbs
Rhinanthus-type	Herbs
Rhododendron	Trees and shrubs
Rhododendron lapponicum-type	Dwarf shrubs
Rhus	Trees and shrubs
Rhus coriaria-type	Trees and shrubs
Rhynchospora alba	Helophytes
Ribes	Trees and shrubs
Rosa	Trees and shrubs
Rosa-type	Trees and shrubs
Rosaceae	Trees and shrubs
Rosaceae undiff.	Trees and shrubs
Rubiaceae	Herbs
Rubus	Trees and shrubs
Rubus chamaemorus	Herbs
Rubus fruticosus	Trees and shrubs
Rubus saxatilis	Trees and shrubs
Rumex	Herbs
Rumex acetosa	Herbs
Rumex acetosa-type	Herbs
Rumex acetosella	Herbs
Rumex acetosella-type	Herbs
Rumex aquaticus-type	Herbs
Rumex crispus-type	Herbs
Rumex longifolius-type	Herbs
Rumex obtusifolius-type	Herbs
Rumex subg. Acetosa	Herbs
