varname	groupname
Helianthemum cf. H. nummularium	Herbs
Helianthemum cf. H. oelandicum	Herbs
Scirpus lacustris-type	Helophytes
Stachys sylvatica-type	Herbs
Myrica gale	Trees and shrubs
Nymphaea candida	Aquatics
Picea abies	Trees and shrubs
Anemone/Hepatica	Herbs
cf. Scleranthus	Herbs
Lythrum portula	Herbs
Potentilla comarum	Herbs
Tilia platyphyllos-type	Trees and shrubs
Anthriscus sylvestris-type	Herbs
Daucus carota	Herbs
Valeriana officinalis-type	Herbs
Pilularia globulifera	Vascular cryptogams (Pteridophytes)
Dryopteris cristata-type	Vascular cryptogams (Pteridophytes)
Polypodium undiff.	Vascular cryptogams (Pteridophytes)
Schoenus	Helophytes
Spicula	Invertebrates
Pre-Quaternary pollen	Pre-Quaternary type
Alnus viridis subsp. fruticosa	Trees and shrubs
Typha	Helophytes
Lonicera-type	Trees and shrubs
Oxalis-type	Herbs
Portulaca	Herbs
Larix dahurica	Trees and shrubs
Ribes rubrum-type	Trees and shrubs
cf. Valeriana	Indeterminables and unknowns
Arctostaphylos uva-ursi-type	Dwarf shrubs
Eu-Rumex-type	Herbs
Dipsacaceae undiff.	Herbs
Campanulaceae undiff.	Herbs
cf. Calystegia	Indeterminables and unknowns
Scirpus lacustris subsp. lacustris-type	Helophytes
Crataegus/Sorbus	Trees and shrubs
Angelica archangelica-type	Herbs
Cotoneaster-type	Trees and shrubs
Fallopia convolvulus	Herbs
Polypodiaceae-type	Vascular cryptogams (Pteridophytes)
Pinus (half)	Trees and shrubs
Pinus (whole)	Trees and shrubs
Picea (half)	Trees and shrubs
Picea (whole)	Trees and shrubs
Viburnum opulus-type	Trees and shrubs
Rhynchospora alba-type	Helophytes
Polygonaceae undiff.	Herbs
Epilobium angustifolium-type	Herbs
Nymphaea alba-type	Aquatics
Potamogeton sect. Eupotamogeton	Aquatics
Polypodiaceae/Aspidiaceae undiff.	Vascular cryptogams (Pteridophytes)
Astragalus oxytropis-type	Herbs
Scorzonera humilis-type	Herbs
Hordeum/Secale	Herbs
Assulina seminulum	Rhizopods
Habrotrocha	Rotifera (Rotifers)
Helotium schimperi	Fungi
Ranunculus arvensis	Herbs
cf. Marrubium	Indeterminables and unknowns
Arctium/Jurinea	Herbs
Onopordum-type	Herbs
Scabiosa olivieri	Herbs
Hypericum assyrianum-type	Herbs
Pteris	Vascular cryptogams (Pteridophytes)
Ranunculus arvensis-type	Herbs
Ranunculus peltatus-type	Aquatics
Ulex/Sarothamnus	Trees and shrubs
Hammada-type	Trees and shrubs
Evax	Herbs
Portulaca/Montia	Herbs
Anisosciadium-type	Herbs
Nitraria	Trees and shrubs
Lycium-type	Trees and shrubs
Linum mucronatum-type	Herbs
Polygonum cognatum-type	Herbs
Nerium	Trees and shrubs
Styrax	Trees and shrubs
Acanthus	Herbs
Chardinia/Onopordon	Herbs
Bryonia	Herbs
Phlomis	Herbs
Malabaila	Herbs
Urtica pilulifera-type	Herbs
Cotinus coggygria	Trees and shrubs
Mesembryanthemum	Herbs
Centaurea solstitialis	Herbs
Crocus	Herbs
Sideritis	Herbs
Colchicum/Merendera	Herbs
Gossypium	Herbs
Cyclamen	Herbs
Hyoscyamus	Herbs
Liliaceae cf. Narthecium-type	Herbs
Salix herbacea-type	Trees and shrubs
Resedaceae	Herbs
Juncus	Herbs
cf. Juncus	Indeterminables and unknowns
Sanguisorba-type	Herbs
Juglandaceae	Trees and shrubs
cf. Convolvulus	Indeterminables and unknowns
Centaurea rhenana	Herbs
Pediastrum kawraiskyi	Algae
Juglans-type	Trees and shrubs
Hyalosphenia	Rhizopods
Anagallis-type	Herbs
Pinus-type	Trees and shrubs
Polygonum cf. P. lapathifolium	Herbs
cf. Stellaria	Herbs
Polygonum cf. P. persicaria	Herbs
Asphodeline	Herbs
Antirrhinum/Linaria	Herbs
Rubus idaeus-type	Trees and shrubs
Fagopyrum esculentum	Herbs
Trientalis europaea	Herbs
Lobelia dortmanna	Helophytes
Drosera rotundifolia/D. anglica	Helophytes
Stellaria palustris	Herbs
Limnophora	Invertebrates
Betula obscura	Trees and shrubs
Cirsium helenioides	Herbs
Sagina nodosa	Herbs
Araceae	Herbs
Quercus sempervirens-type	Trees and shrubs
cf. Prosopis	Indeterminables and unknowns
Asphodelus albus-type	Herbs
Orobanche	Herbs
Roemeria	Herbs
Hydrocotyle-type	Herbs
Cheilanthes-type	Vascular cryptogams (Pteridophytes)
cf. Equisetum	Indeterminables and unknowns
cf. Lycopodium clavatum	Vascular cryptogams (Pteridophytes)
Anthoceros laevis-type	Bryophytes
Pterocephalus-type	Herbs
Maianthemum	Herbs
Emex	Herbs
Polygonum hydrolapathum	Herbs
Spores	Indeterminables and unknowns
Centaurea nemecii-type	Herbs
Roemeria dodecandra-type	Herbs
Plantago cylindrica-type	Herbs
Pedicularis palustris-type	Herbs
Reseda lutea-type	Herbs
Pteropyrum	Herbs
Viburnum/Sambucus	Trees and shrubs
Valeriana officinalis subsp. sambucifolia	Herbs
Pediastrum clathratum	Algae
Quercus robur/Q. cerris	Trees and shrubs
cf. Prunus-type	Trees and shrubs
cf. Cerastium glomeratum	Herbs
cf. Silene albescens	Herbs
cf. Silene ampullata	Herbs
Vaccaria/Petrorhagia	Herbs
Centaurea cf. Xeranthemum	Herbs
Inula-type	Herbs
Serratula	Herbs
Cephalaria	Herbs
cf. Euphorbiaceae	Indeterminables and unknowns
Mercurialis-type	Herbs
cf. Gentianaceae	Indeterminables and unknowns
Medicago-type	Herbs
cf. Medicago minima	Indeterminables and unknowns
Psoralea	Herbs
cf. Chionodoxa	Indeterminables and unknowns
Eremurus	Herbs
Gagea-type	Herbs
Calligonum aphyllum	Trees and shrubs
Acantholimon	Herbs
Delphinium	Herbs
Callipeltis microstegia-type	Trees and shrubs
Scrophularia/Verbascum/Digitalis	Herbs
cf. Veronica	Indeterminables and unknowns
cf. Bunium rectangulum	Herbs
Echinophora-type	Herbs
cf. Falcaria	Herbs
Lecokia	Herbs
cf. Levisticum	Herbs
Psammogeton-type	Herbs
cf. Smyrniopsis	Herbs
Trachyspermum-type	Herbs
Azolla/Salvinia	Aquatic Pteridophyta
Vaccaria	Herbs
Juniperus sabina	Trees and shrubs
Phillyrea angustifolia	Trees and shrubs
Abutilon	Herbs
Rumex kurdicus	Herbs
Ranunculus circiniatus	Aquatics
Saxifraga rotundifolia	Herbs
Azolla	Aquatic Pteridophyta
cf. Lycopodium	Vascular cryptogams (Pteridophytes)
Pediastrum brevicorne	Algae
Pediastrum divergens	Algae
Pediastrum longicorne	Algae
Pediastrum muticum	Algae
Spiraea	Trees and shrubs
Osmanthus	Trees and shrubs
Cnicus	Herbs
Inula	Herbs
Hedysarum/Ebenus	Herbs
Anthriscus-type	Herbs
Hydrocharis	Aquatics
Marsilea	Vascular cryptogams (Pteridophytes)
Cytisus	Trees and shrubs
Aristolochia	Herbs
Cerinthe-type	Herbs
Calendula	Herbs
Ricinus	Trees and shrubs
Gentiana vernalis-type	Herbs
Nepeta	Herbs
Laurus	Trees and shrubs
Alhagi	Trees and shrubs
Colutea	Trees and shrubs
Hippocrepis	Herbs
Rheum	Herbs
Androsace	Herbs
Actaea	Herbs
Adonis aestivalis	Herbs
Anemone coronaria	Herbs
Consolida	Herbs
Rhynchospora-type	Helophytes
Phyllitis	Vascular cryptogams (Pteridophytes)
Crupina	Herbs
Anthyllis-type	Herbs
Hibiscus	Trees and shrubs
cf. Berberis	Indeterminables and unknowns
Phyteuma-type	Herbs
Anemone undiff.	Herbs
cf. Bongardia	Indeterminables and unknowns
Beta	Herbs
Roemeria-type	Herbs
Rumex cyprius-type	Herbs
Rumex patientia-type	Herbs
Zygophyllaceae	Trees and shrubs
Sanicula	Herbs
Cuscuta europaea-type	Herbs
cf. Sambucus	Indeterminables and unknowns
cf. Ceratonia	Indeterminables and unknowns
cf. Campanulaceae	Indeterminables and unknowns
Artemisia herba-alba	Herbs
cf. Hypericum	Indeterminables and unknowns
Iris pseudacorus	Herbs
Spartium	Trees and shrubs
Fagopyrum tataricum	Herbs
Hydrocharitaceae	Aquatics
Pediastrum undulatum	Algae
cf. Rhus	Indeterminables and unknowns
cf. Loranthaceae	Indeterminables and unknowns
cf. Abies	Trees and shrubs
Bongardia	Herbs
Legousia-type	Herbs
Beta-type	Herbs
Atractylis-type	Herbs
cf. Cruciferae	Indeterminables and unknowns
Gentiana olivieri-type	Herbs
cf. Astragalus-type	Indeterminables and unknowns
cf. Papaveraceae	Indeterminables and unknowns
cf. Acantholimon	Herbs
Statice spicata-type	Herbs
cf. Aconitum	Indeterminables and unknowns
cf. Adonis	Indeterminables and unknowns
Ceratocephalus-type	Herbs
cf. Solanaceae	Indeterminables and unknowns
cf. Thymelaeaceae	Indeterminables and unknowns
cf. Caucalis	Herbs
Picea abies subsp. obovata	Trees and shrubs
Caprifoliaceae	Trees and shrubs
Encalypta	Bryophytes
Selaginella sibirica	Vascular cryptogams (Pteridophytes)
Pinus haploxylon	Trees and shrubs
Alnus hirsuta	Trees and shrubs
Phlox sibirica	Herbs
Botrychium boreale	Vascular cryptogams (Pteridophytes)
Ephedra monosperma	Trees and shrubs
Lonicera periclymenum-type	Trees and shrubs
Lythrum hyssopifolia	Herbs
Philonotis	Bryophytes
Lappula	Herbs
Gentianella tenella	Herbs
Centranthus	Herbs
Scutellaria-type	Herbs
Pulmonaria obscura-type	Herbs
Atropa bella-donna	Herbs
Buglossoides arvensis-type	Herbs
Erica ciliaris-type	Dwarf shrubs
Digitalis purpurea-type	Herbs
Cornus mas-type	Trees and shrubs
Crassula	Herbs
Daphne/Thymeleaea	Trees and shrubs
Consolida ambigua-type	Herbs
Ficus carica	Trees and shrubs
Fritillaria-type	Herbs
Mahonia aquilifolium-type	Trees and shrubs
Pyrola-type	Dwarf shrubs
Monotropa hypopitys	Dwarf shrubs
Papaver radicatum	Herbs
Pleurospermum austriacum-type	Herbs
Larix-type	Trees and shrubs
Solanum nigrum-type	Herbs
Spergula arvensis-type	Herbs
Umbilicus rupestris-type	Herbs
Gentianella tenella-type	Herbs
Potamogeton subg. Potamogeton-type	Aquatics
Abies alba	Trees and shrubs
Polemonium boreale	Herbs
Silene acaulis	Herbs
Trifolium striatum-type	Herbs
cf. Xanthium	Indeterminables and unknowns
Ranunculus trichophyllus	Aquatics
Tilia cordata-type	Trees and shrubs
Lonicera nigra-type	Trees and shrubs
Loranthus	Trees and shrubs
Viburnum cf. V. opulus	Trees and shrubs
Allium vineale-type	Herbs
Astrantia-type	Herbs
Centaurea cf. C. kotschyana	Herbs
Centaurea mollis-type	Herbs
Cerinthe	Herbs
Gentiana asclepiadea-type	Herbs
Gypsophila fastigiata	Herbs
Tussilago-type	Herbs
cf. Myosoton aquaticum	Herbs
Asarum europaeum	Herbs
Leucojum/Galanthus	Herbs
Stellaria cf. S. nemorum	Herbs
Urtica cf. U. dioica	Herbs
Saxifraga cf. S. hirculus	Herbs
Stellaria cf. S. graminea	Herbs
cf. Andromeda polifolia	Dwarf shrubs
cf. Potentilla palustris	Herbs
cf. Swertia	Herbs
cf. Veratrum	Indeterminables and unknowns
Lamiastrum-type	Herbs
Alnus cf. A. viridis	Trees and shrubs
Carex hirta-type	Helophytes
Gypsophila fastigiata-type	Herbs
Lysimachia nummularia	Herbs
Plantago maritima sensu lato	Herbs
Staphylea	Trees and shrubs
Agrostemma githago	Herbs
Arum/Acorus	Indeterminables and unknowns
Epipactis palustris	Herbs
Glechoma-type	Herbs
Petasites-type	Herbs
Phleum-type	Herbs
Polygonatum verticillatum	Herbs
Bilderdykia convolvulus/B. dumetorum	Herbs
Rumex cf. R. obtusifolius	Herbs
Silene undiff.	Herbs
cf. Cannabis	Herbs
cf. Chrysanthemum	Indeterminables and unknowns
cf. Triticum diccocon	Herbs
Potamogeton sect. Coleogeton	Aquatics
Berberis vulgaris	Trees and shrubs
Salix polaris-type	Trees and shrubs
cf. Cannabis sativa	Herbs
Echium vulgare	Herbs
Lithospermum-type	Herbs
Linaria-type	Herbs
Sequoia	Trees and shrubs
Ribes cf. R. rubrum	Trees and shrubs
Fallopia convolvulus-type	Herbs
cf. Bartsia	Indeterminables and unknowns
cf. Viola	Indeterminables and unknowns
Andromeda	Dwarf shrubs
Fontanesia philliraeoides	Trees and shrubs
Punica	Trees and shrubs
Pyrus	Trees and shrubs
Rindera-type	Herbs
Lepidium	Herbs
Datisca	Herbs
Corydalis solida-type	Herbs
Hypecoum	Herbs
Kickxia	Herbs
Juncus/Luzula	Herbs
Nymphoides	Aquatics
Capparis	Trees and shrubs
Descurainia	Herbs
Gentiana purpurea	Herbs
Hordeum/Triticum	Herbs
Chelidonium	Herbs
Rumex cyprius	Herbs
Datura	Herbs
Epipactis	Herbs
Sambucus racemosa-type	Trees and shrubs
Medicago	Herbs
Melilotus	Herbs
Tulipa-type	Herbs
Ceratocephalus	Herbs
Paracaryum-type	Herbs
Littorella-type	Aquatics
Chardinia	Herbs
Centaurium-type	Herbs
Plantaginaceae undiff.	Herbs
Aruncus	Herbs
Reaumuria	Trees and shrubs
Tribulus	Herbs
Plantago arenaria	Herbs
Betulaceae	Trees and shrubs
Pleurospermum-type	Herbs
Pimpinella saxifraga-type	Herbs
Potamogetonaceae	Aquatics
Solidago	Herbs
Chaerophyllum	Herbs
Peucedanum	Herbs
Potentilla subg. Comarum-type	Herbs
Plantago major/P. maritima	Herbs
Anthocerothales	Bryophytes
Bupleurum falcatum-type	Herbs
Convallaria-type	Herbs
Dianthus superbus-type	Herbs
Heracleum sphondylium-type	Herbs
Cerastium fontanum-type	Herbs
cf. Triticum	Herbs
Erica undiff.	Dwarf shrubs
Artemisia sensu stricto	Herbs
Artemisia sensu lato	Herbs
cf. Centaurea	Indeterminables and unknowns
Silybum-type	Herbs
Quercus infectoria-type	Trees and shrubs
Asphodelus fistulosus-type	Herbs
Cichorium	Herbs
Calligonum/Pteropyrum	Trees and shrubs
Linaceae	Herbs
Pediastrum boryanum subsp. brevicorne	Algae
Phillyrea-type	Trees and shrubs
Melandrium rubrum	Herbs
Cistus villosus-type	Trees and shrubs
Arabidopsis-type	Herbs
Cyperus longus-type	Helophytes
Urtica undiff.	Herbs
Corydalis lutea-type	Herbs
Cistus/Helianthemum	Trees and shrubs
Andrachne	Trees and shrubs
Roemeria hybrida-type	Herbs
Doronicum-type	Herbs
Artemisia vulgaris	Herbs
Crepis-type	Herbs
Sanicula-type	Herbs
Peganum	Herbs
Oleaceae/Cruciferae	Indeterminables and unknowns
Trachomitum	Herbs
Nepeta-type	Herbs
Ornithogalum	Herbs
cf. Heracleum sphondylium	Herbs
Ranunculus batrachioides	Aquatics
Erigeron	Herbs
Geranium sylvaticum	Herbs
Saxifraga-type	Herbs
Hippuris vulgaris	Aquatics
Pediastrum boryanum I	Algae
Pediastrum boryanum II	Algae
Pediastrum boryanum III	Algae
Pediastrum boryanum var. rugulatum	Algae
Potamogeton sect. Coleogeton-type	Aquatics
Zygnemataceae	Algae
Monolete psilate	Vascular cryptogams (Pteridophytes)
Pteridophyta (monolete, verrucate)	Vascular cryptogams (Pteridophytes)
Debarya	Fungi
Liriodendron	Pre-Quaternary type
Helianthemum oelandicum subsp. alpestre-type	Herbs
Sparganium emersum	Helophytes
Trollius-type	Herbs
Astrantia	Herbs
Rumex aquaticus	Herbs
Helianthemum canum-type	Herbs
Potamogeton filiformis-type	Aquatics
Chrysanthemum-type	Herbs
Polygonatum verticillatum-type	Herbs
Rumex maritimus-type	Herbs
Phragmites australis-type	Herbs
Potamogeton subg. Eupotamogeton	Aquatics
cf. Typha angustifolia	Indeterminables and unknowns
Montia fontana-type	Herbs
Chrysanthemum	Herbs
Barbarea-type	Herbs
Cardamine pratensis-type	Herbs
Valeriana dioica subsp. simplicifolia	Herbs
Desmidiaceae	Algae
Gentiana verna-type	Herbs
Arcella discoides	Rhizopods
Rhizopoda sp.	Rhizopods
Callidina angusticollis	Rotifera (Rotifers)
Cerinthe minor	Herbs
Anthoceros laevis	Bryophytes
Debarya sp.	Fungi
Spirogyra-type	Algae
Zygnema-type	Algae
Arcella undiff.	Rhizopods
Entophlyctis lobata	Fungi
Ribes cf. R. alpinum	Trees and shrubs
Galeopsis	Herbs
Sambucus cf. S. ebulus	Trees and shrubs
Scheuchzeria-type	Helophytes
Apium inundatum-type	Herbs
Helicoma curtisii	Fungi
cf. Lepidotis inundata	Vascular cryptogams (Pteridophytes)
Betula pubescens sensu lato	Trees and shrubs
Pinus cembra-type	Trees and shrubs
Sambucus cf. S. racemosa	Trees and shrubs
Larix decidua	Trees and shrubs
Viburnum undiff.	Trees and shrubs
Lycopodiella inundata	Vascular cryptogams (Pteridophytes)
Picea abies subsp. abies	Trees and shrubs
Melampyrum-type	Herbs
Eunotia	Algae
Pediastrum biradiatum	Algae
Pediastrum muticum subsp. scutum	Algae
Pinnularia	Algae
Arcella	Rhizopods
Rhizopoda undiff.	Rhizopods
Filipendula-type	Herbs
Lemna minor	Aquatics
Centaurea debeauxii subsp. thuillieri	Herbs
Cicuta virosa	Herbs
Chrysosplenium alternifolium	Helophytes
Lonicera nigra	Trees and shrubs
Lonicera xylosteum	Trees and shrubs
Arnica montana	Herbs
Campanula rotundifolia	Herbs
Gentiana lutea	Herbs
Chrysosplenium undiff.	Helophytes
Pulsatilla alpina	Herbs
Arnica	Herbs
Carum-type	Herbs
Cerastium arvense	Herbs
Daucus	Herbs
Hypericum tetrapterum	Herbs
Polygonum aviculare/P. bistorta	Herbs
Berberidaceae	Trees and shrubs
Chenopodium/Thalictrum	Herbs
Halogeton	Trees and shrubs
Plantago cf. P. crassifolia	Herbs
Statice spicata	Herbs
Androsace-type	Herbs
Anthericum ramosum	Herbs
Chenopodium album	Herbs
Gypsophila muralis	Herbs
Lapsana-type	Herbs
Lotus cf. L. uliginosus	Herbs
cf. Silene alba	Herbs
Sedum/Sempervivum	Herbs
Senecio cf. S. congestus	Herbs
Silene cf. S. nutans	Herbs
Stellaria cf. S. palustris	Herbs
Alyssoides-type	Herbs
Nymphaeaceae: hairs	Vegetative microfossils
Elatine-type	Aquatics
Swertia perennis	Herbs
Cornus cf. C. suecica	Trees and shrubs
Stellaria cf. S. media	Herbs
cf. Herniaria	Indeterminables and unknowns
cf. Montia	Indeterminables and unknowns
Polygala vulgaris	Herbs
Armeria maritima subsp. elongata	Herbs
Diphasium tristachyum	Vascular cryptogams (Pteridophytes)
Rumex conglomeratus-type	Herbs
cf. Lobelia	Indeterminables and unknowns
cf. Littorella	Indeterminables and unknowns
Melilotus officinalis	Herbs
Saxifraga cf. S. nivalis	Herbs
Stratiotes aloides	Aquatics
cf. Humulus	Herbs
Valerianella dentata	Herbs
cf. Cytisus	Indeterminables and unknowns
Heleopera	Rhizopods
Nebela	Rhizopods
Plantago cf. P. alpina	Herbs
Plantago cf. P. coronopus	Herbs
Plantago cf. P. tenuiflora	Herbs
Pyrola	Dwarf shrubs
Amaranthaceae	Herbs
Odontites-type	Herbs
Polygonatum-type	Herbs
Stellaria graminea	Herbs
Hottonia-type	Aquatics
Alisma gramineum-type	Helophytes
Umbelliferae 3	Herbs
Menyanthes trifoliata-type	Helophytes
Chrysosplenium-type	Helophytes
Lysimachia nemorum-type	Herbs
Lythrum salicaria-type	Herbs
Veronica beccabunga-type	Herbs
Ephedra cf. E. fragilis subsp. campylopoda	Trees and shrubs
Cardamine	Herbs
Myriophyllum cf. M. spicatum	Aquatics
Myriophyllum cf. M. verticillatum	Aquatics
Helicoma	Fungi
Nebela undiff.	Rhizopods
Bruckenthalia	Dwarf shrubs
Hymenophyllum tunbrigense	Vascular cryptogams (Pteridophytes)
Hepatica-type	Herbs
Arthrodesmus	Algae
Succisella-type	Trees and shrubs
Botryococcus pila	Algae
cf. Penium	Indeterminables and unknowns
Zygnema	Algae
Zygnemataceae undiff.	Algae
Anthostomella fuegiana	Fungi
Gentiana cruciata-type	Herbs
Fungi undiff.	Fungi
Gaeumannomyces cf. caricis	Fungi
Gelasinospora reticulispora	Fungi
Casuarina/Corylus	Trees and shrubs
cf. Riccia	Indeterminables and unknowns
Pediastrum angulosum subsp. angulosum	Algae
Pediastrum duplex subsp. duplex	Algae
Petasites	Herbs
Diporotheca	Fungi
Butomus-type	Helophytes
Centaurea stoebe	Herbs
Tetraedron	Algae
Tetraploa aristata	Fungi
Succisella	Herbs
Penium	Algae
Cladocera	Microcrustaceans
Rhabdocoela	Platyhelminthes (flatworms)
Dinoflagellates	Dinoflagellates
Butomus	Helophytes
Mougeotia undiff.	Algae
Staurastrum dispar	Algae
Gelasinospora undiff.	Fungi
Euglypha undiff.	Rhizopods
Pteridium aquilinum-type	Vascular cryptogams (Pteridophytes)
Monolete spore sculptured	Vascular cryptogams (Pteridophytes)
Trilete spore sculptured	Vascular cryptogams (Pteridophytes)
Pinus subg. Strobus	Trees and shrubs
Betula sect. Albae	Trees and shrubs
Betula sect. Nanae	Dwarf shrubs
Betula sect. Fruticosae	Dwarf shrubs
Ulmus minor	Trees and shrubs
Rosaceae subf. Maloideae	Trees and shrubs
Larix gmelinii	Trees and shrubs
Ulmus glabra	Trees and shrubs
Tamaricaceae	Trees and shrubs
Quercus boissieri-type	Trees and shrubs
Flamula-type	Indeterminables and unknowns
Lastrea-type	Vascular cryptogams (Pteridophytes)
Rumex acetosa/R. acetosella-type	Herbs
Rumex longifolius	Herbs
cf. Ranunculus	Indeterminables and unknowns
cf. Taxus	Indeterminables and unknowns
Silene/Lychnis	Herbs
cf. Artemisia	Indeterminables and unknowns
cf. Carpinus	Indeterminables and unknowns
Ephedra distachya subsp. helvetica-type	Trees and shrubs
cf. Thalictrum	Indeterminables and unknowns
cf. Ephedra fragilis	Trees and shrubs
cf. Urtica	Indeterminables and unknowns
cf. Ilex	Indeterminables and unknowns
Anthyllis/Lychnis	Indeterminables and unknowns
cf. Acer	Indeterminables and unknowns
cf. Cladium	Helophytes
cf. Cladium-type	Helophytes
Corylond	Trees and shrubs
Fragaria	Herbs
Angelica	Herbs
Galium palustre	Herbs
Typha latifolia/T. angustifolia	Helophytes
Valeriana cf. V. dioica	Herbs
Closterium undiff.	Algae
Pediastrum braunii	Algae
Pediastrum tetras	Algae
Staurastrum undiff.	Algae
Veronica beccabunga	Herbs
Euphrasia-type	Herbs
Gentiana punctata	Herbs
Swertia	Herbs
Triglochin/Potamogeton	Aquatics
Acroptilon	Herbs
cf. Anthericum	Indeterminables and unknowns
Primula elatior-type	Herbs
cf. Gratiola	Indeterminables and unknowns
Cupressus	Trees and shrubs
cf. Casuarina	Indeterminables and unknowns
cf. Cornus	Indeterminables and unknowns
cf. Ligustrum	Indeterminables and unknowns
Arnebia	Herbs
cf. Myosotis-type	Indeterminables and unknowns
Mattiastrum	Herbs
Michauxia	Herbs
cf. Krascheninnikovia	Herbs
cf. Polypodium	Vascular cryptogams (Pteridophytes)
cf. Onobrychis-type	Indeterminables and unknowns
cf. Polygonum bistorta-type	Indeterminables and unknowns
Fraxinus angustifolia subsp. oxycarpa-type	Trees and shrubs
cf. Genista	Indeterminables and unknowns
cf. Myricaria	Indeterminables and unknowns
Amaranthus-type	Herbs
Galanthus	Herbs
Biscutella	Herbs
Dorycnium hirsutum	Herbs
cf. Orobanche	Indeterminables and unknowns
cf. Atraphaxis	Indeterminables and unknowns
Ranunculus parviflorus-type	Herbs
Saxifraga moschata-type	Herbs
Ceratonia	Trees and shrubs
Hymenophyllum flabellatum	Vascular cryptogams (Pteridophytes)
Betula exilis/B. fruticosa	Dwarf shrubs
Polygonum scabrum	Herbs
Anthoceros crispulus	Bryophytes
Osmunda undiff.	Vascular cryptogams (Pteridophytes)
Osmunda cinnamomea	Vascular cryptogams (Pteridophytes)
Pinus sibirica	Trees and shrubs
Ulmus undiff.	Trees and shrubs
Tilia undiff.	Trees and shrubs
Tilia tomentosa	Trees and shrubs
Botrychium undiff.	Vascular cryptogams (Pteridophytes)
Huperzia selago subsp. arctica	Vascular cryptogams (Pteridophytes)
Lycopodium dubium	Vascular cryptogams (Pteridophytes)
Ulmus laevis	Trees and shrubs
Sphagnales	Bryophytes
Alnus incana	Trees and shrubs
Betula cf. B. pendula	Trees and shrubs
Betula cf. B. fruticosa	Trees and shrubs
Steris segetalis	Herbs
Fossombronia	Bryophytes
Avena sativa	Herbs
Rhus/Cotinus	Trees and shrubs
Atractylis cancellata	Herbs
Cornus mas/C. sanguinea	Trees and shrubs
Vitex	Trees and shrubs
Scandix	Herbs
Coronilla	Herbs
Satureja/Ziziphora	Herbs
Hypericum coris-type	Herbs
Cornulaca	Herbs
Parrotia	Trees and shrubs
Pteridium undiff.	Vascular cryptogams (Pteridophytes)
Pediastrum boryanum subsp. divergens	Algae
Pediastrum boryanum subsp. granulosum	Algae
Massulae salvinia	Macrofossils
Scabiosa undiff.	Herbs
Arabidopsis	Herbs
Rebedded	Pre-Quaternary type
Spikes/slide	Nonpollen
Spikes/tablet	Nonpollen
Sample volume (ml)	Nonpollen
Tablets	Nonpollen
Ranunculus sceleratus	Herbs
Lonicera undiff.	Trees and shrubs
Polygonum cf. P. bistorta-type	Herbs
Ephedra cf. E. distachya	Trees and shrubs
Ephedra cf. E. fragilis	Trees and shrubs
Lythrum-type	Herbs
Ophioglossaceae	Vascular cryptogams (Pteridophytes)
Scorzonera	Herbs
Duschekia fruticosa	Trees and shrubs
Hepatica	Herbs
Huperzia serrata	Vascular cryptogams (Pteridophytes)
Butomaceae	Helophytes
Ulmus (type A)	Trees and shrubs
Ulmus (type B)	Trees and shrubs
Andromeda-type	Dwarf shrubs
Helianthus-type	Herbs
Ledum-type	Dwarf shrubs
cf. Dryopteris	Vascular cryptogams (Pteridophytes)
Myriophyllum cf. M. alterniflorum	Aquatics
Ephedra cf. E. strobilacea	Trees and shrubs
Ilex aquifolium-type	Trees and shrubs
cf. Rosa	Trees and shrubs
Rubus undiff.	Trees and shrubs
cf. Chamaenerion	Herbs
cf. Euphorbia	Indeterminables and unknowns
Helianthemum canum/H. alpestre	Herbs
Helianthemum undiff.	Herbs
cf. Koenigia islandica	Indeterminables and unknowns
Linum austriacum-type	Herbs
cf. Lychnis	Herbs
Mercurialis cf. M. perennis	Herbs
cf. Lythrum	Indeterminables and unknowns
cf. Pinguicula	Indeterminables and unknowns
Plantago maritima sensu stricto	Herbs
cf. Saxifraga nivalis	Indeterminables and unknowns
cf. Saxifraga stellaris	Indeterminables and unknowns
Scabiosa canescens-type	Herbs
Dryopteris filix-mas sensu stricto	Vascular cryptogams (Pteridophytes)
Diphasium complanatum/D. tristachyum	Vascular cryptogams (Pteridophytes)
Osmunda regalis/Osmundastrum claytonianum	Vascular cryptogams (Pteridophytes)
Polypodiaceae sensu lato undiff.	Vascular cryptogams (Pteridophytes)
Alisma cf. A. plantago-aquatica	Helophytes
Bolboschoenus maritimus	Helophytes
Nuphar cf. N. lutea	Aquatics
Rumex aquaticus/R. hydrolapathum	Herbs
cf. Viscaria	Herbs
Gentiana/Gentianella	Herbs
Helianthemum oelandicum	Herbs
Delphinium/Aconitum	Herbs
Valeriana/Valerianella	Herbs
Tetraporina	Fungi
Lycopodium annotinum/Diphasium complanatum	Vascular cryptogams (Pteridophytes)
Brasenia	Pre-Quaternary type
Agrimonia cf. A. eupatoria	Herbs
cf. Erica	Dwarf shrubs
Lysimachia nummularia-type	Herbs
cf. Potentilla bifurca subg. Comarum	Herbs
Ranunculus cf. R. sceleratus	Herbs
Rumex sect. Lapathum	Herbs
Plantago cf. P. major	Herbs
Mycota	Fungi
Stellaria nemorum	Herbs
Geum/Potentilla	Herbs
Empetrum nigrum subsp. hermaphroditum	Dwarf shrubs
Bellis	Herbs
Empetraceae	Dwarf shrubs
Ficaria	Herbs
Scorzonera humilis	Herbs
Alnaster	Trees and shrubs
Abies nordmanniana	Trees and shrubs
